Timestamp,District,Traffic_Flow,Avg_Speed_km_h,Power_Consumption_kWh,Water_Usage_L,Crime_Incidents,Emergency_Calls,Public_Service_Requests
2025-10-01 08:00,A,1200,35,4500,12000,2,1,5
2025-10-01 08:00,B,800,42,3800,9500,0,0,3
2025-10-01 08:00,C,1500,28,5000,13000,3,2,6
2025-10-01 09:00,A,1300,33,4600,12500,1,0,4
2025-10-01 09:00,B,850,40,3900,9700,0,0,3
2025-10-01 09:00,C,1550,27,5100,13500,4,1,7
2025-10-01 10:00,A,1250,34,4550,12200,2,1,5
2025-10-01 10:00,B,900,39,3950,9800,0,0,2
2025-10-01 10:00,C,1600,26,5200,13800,3,1,6
2025-10-01 11:00,A,1400,32,4700,12700,1,1,4
2025-10-01 11:00,B,950,38,4000,9900,1,0,3
2025-10-01 11:00,C,1650,25,5300,14000,5,2,7
2025-10-01 12:00,A,1350,33,4650,12400,2,0,5
2025-10-01 12:00,B,920,37,3980,9850,0,0,2
2025-10-01 12:00,C,1620,26,5250,13700,4,1,6
2025-10-01 13:00,A,1380,32,4680,12550,1,1,4
2025-10-01 13:00,B,940,36,3990,9880,0,0,3
2025-10-01 13:00,C,1630,25,5280,13850,3,1,6
2025-10-01 14:00,A,1420,31,4720,12750,2,1,5
2025-10-01 14:00,B,960,35,4010,9900,0,0,3
